Orden,Tipo de contenedor,Tipo de contenedor normalizado,Modelo,Carga,Lote,Dirección,Barrio,Distrito,Latitud,Longitud,X,Y,Código de localización
1,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Ferenc Puskas, 219",El Cañaveral,Vicálvaro,40.399762223566,-3.547023187299,453579.583,4472272.06,CS_194_072
2,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Ferenc Puskas, 219",El Cañaveral,Vicálvaro,40.399762223566,-3.547023187299,453579.583,4472272.06,CS_194_072
3,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Ferenc Puskas, 219",El Cañaveral,Vicálvaro,40.400115364603,-3.546815180757,453597.477,4472311.149,CS_194_010
4,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Ferenc Puskas, 219",El Cañaveral,Vicálvaro,40.400115364603,-3.546815180757,453597.477,4472311.149,CS_194_010
5,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Ferenc Puskas, 231",El Cañaveral,Vicálvaro,40.40017528208,-3.546815630198,453597.48,4472317.8,CL_194_006
6,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Ferenc Puskas, 231",El Cañaveral,Vicálvaro,40.40017528208,-3.546815630198,453597.48,4472317.8,CL_194_006
7,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Ferenc Puskas, 231",El Cañaveral,Vicálvaro,40.40017528208,-3.546815630198,453597.48,4472317.8,CL_194_006
8,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Ferenc Puskas, 231",El Cañaveral,Vicálvaro,40.40017528208,-3.546815630198,453597.48,4472317.8,CL_194_006
9,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Ferenc Puskas, 231",El Cañaveral,Vicálvaro,40.40017528208,-3.546815630198,453597.48,4472317.8,CL_194_006
10,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Ferenc Puskas, 201",El Cañaveral,Vicálvaro,40.399123058557,-3.546806999013,453597.49,4472201,CS_194_048
11,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Ferenc Puskas, 201",El Cañaveral,Vicálvaro,40.399123058557,-3.546806999013,453597.49,4472201,CS_194_048
12,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Suertes de la Villa, 14",El Cañaveral,Vicálvaro,40.402419076923,-3.548555137804,453451.411,4472567.773,CS_194_050
13,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Suertes de la Villa, 14",El Cañaveral,Vicálvaro,40.402419076923,-3.548555137804,453451.411,4472567.773,CS_194_050
14,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Cerro del Campo, 31",El Cañaveral,Vicálvaro,40.405551141259,-3.550270211456,453308.039,4472916.333,CL_194_053
15,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Cerro del Campo, 31",El Cañaveral,Vicálvaro,40.405551141259,-3.550270211456,453308.039,4472916.333,CL_194_053
16,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Cerro del Campo, 31",El Cañaveral,Vicálvaro,40.405551141259,-3.550270211456,453308.039,4472916.333,CL_194_053
17,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Cerro del Monte, 111",El Cañaveral,Vicálvaro,40.407408847419,-3.549364077435,453386.209,4473122.058,CL_194_067
18,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Cerro del Monte, 111",El Cañaveral,Vicálvaro,40.407408847419,-3.549364077435,453386.209,4473122.058,CL_194_067
19,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Cerro del Monte, 111",El Cañaveral,Vicálvaro,40.407408847419,-3.549364077435,453386.209,4473122.058,CL_194_067
20,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Cuesta del Villorio, 50",El Cañaveral,Vicálvaro,40.403076612,-3.545640810349,453699.163,4472639.228,CS_194_058
21,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Cuesta del Villorio, 50",El Cañaveral,Vicálvaro,40.403076612,-3.545640810349,453699.163,4472639.228,CS_194_058
22,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Ferenc Puskas, 201",El Cañaveral,Vicálvaro,40.399168633973,-3.546807355962,453597.491,4472206.059,CL_194_044
23,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Ferenc Puskas, 201",El Cañaveral,Vicálvaro,40.399168633973,-3.546807355962,453597.491,4472206.059,CL_194_044
24,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Ferenc Puskas, 201",El Cañaveral,Vicálvaro,40.399168633973,-3.546807355962,453597.491,4472206.059,CL_194_044
25,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Ferenc Puskas, 201",El Cañaveral,Vicálvaro,40.399168633973,-3.546807355962,453597.491,4472206.059,CL_194_044
26,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Alcalde Andrés Madrid Dávila, 50",El Cañaveral,Vicálvaro,40.397334338807,-3.54851809847,453451.052,4472003.354,CS_194_047
27,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Alcalde Andrés Madrid Dávila, 50",El Cañaveral,Vicálvaro,40.397334338807,-3.54851809847,453451.052,4472003.354,CS_194_047
28,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Cuesta del Villorio, 50",El Cañaveral,Vicálvaro,40.4030341756,-3.545616733472,453701.177,4472634.505,CL_194_061
29,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Cuesta del Villorio, 50",El Cañaveral,Vicálvaro,40.4030341756,-3.545616733472,453701.177,4472634.505,CL_194_061
30,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Cuesta del Villorio, 50",El Cañaveral,Vicálvaro,40.4030341756,-3.545616733472,453701.177,4472634.505,CL_194_061
31,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Cuesta del Villorio, 50",El Cañaveral,Vicálvaro,40.4030341756,-3.545616733472,453701.177,4472634.505,CL_194_061
32,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Cuesta del Villorio, 50",El Cañaveral,Vicálvaro,40.4030341756,-3.545616733472,453701.177,4472634.505,CL_194_061
33,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Erial de la Abuela, 2",El Cañaveral,Vicálvaro,40.404302976967,-3.550678550347,453272.527,4472778.004,CL_194_054
34,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Erial de la Abuela, 2",El Cañaveral,Vicálvaro,40.404302976967,-3.550678550347,453272.527,4472778.004,CL_194_054
35,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Erial de la Abuela, 2",El Cañaveral,Vicálvaro,40.404302976967,-3.550678550347,453272.527,4472778.004,CL_194_054
36,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Alcalde Pedro Gutiérrez, 53",El Cañaveral,Vicálvaro,40.398227120302,-3.544955883179,453753.965,4472100.582,CS_194_071
37,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Alcalde Pedro Gutiérrez, 53",El Cañaveral,Vicálvaro,40.398227120302,-3.544955883179,453753.965,4472100.582,CS_194_071
38,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Alcalde Andrés Madrid Dávila, 50",El Cañaveral,Vicálvaro,40.397412245857,-3.548518895689,453451.038,4472012.002,CL_194_055
39,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Alcalde Andrés Madrid Dávila, 50",El Cañaveral,Vicálvaro,40.397412245857,-3.548518895689,453451.038,4472012.002,CL_194_055
40,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Alcalde Andrés Madrid Dávila, 50",El Cañaveral,Vicálvaro,40.397412245857,-3.548518895689,453451.038,4472012.002,CL_194_055
41,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Cerro del Monte, 111",El Cañaveral,Vicálvaro,40.407408847419,-3.549364077435,453386.209,4473122.058,CS_194_063
42,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Cerro del Monte, 111",El Cañaveral,Vicálvaro,40.407408847419,-3.549364077435,453386.209,4473122.058,CS_194_063
43,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Camino Aeropuerto, 8",Aeropuerto,Barajas,40.44952521912,-3.549314701894,453419.465,4477796.919,CS_212_021
44,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Camino Aeropuerto, 8",Aeropuerto,Barajas,40.44952521912,-3.549314701894,453419.465,4477796.919,CS_212_021
45,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Erial de la Abuela, 2",El Cañaveral,Vicálvaro,40.404302976967,-3.550678550347,453272.527,4472778.004,CS_194_051
46,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Erial de la Abuela, 2",El Cañaveral,Vicálvaro,40.404302976967,-3.550678550347,453272.527,4472778.004,CS_194_051
47,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Alcalde Pedro Gutiérrez, 53",El Cañaveral,Vicálvaro,40.398164005673,-3.544955197533,453753.98,4472093.576,CL_194_074
48,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Alcalde Pedro Gutiérrez, 53",El Cañaveral,Vicálvaro,40.398164005673,-3.544955197533,453753.98,4472093.576,CL_194_074
49,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Alcalde Pedro Gutiérrez, 53",El Cañaveral,Vicálvaro,40.398164005673,-3.544955197533,453753.98,4472093.576,CL_194_074
50,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Suertes de la Villa, 14",El Cañaveral,Vicálvaro,40.402448165932,-3.548555432854,453451.406,4472571.002,CL_194_046
51,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Suertes de la Villa, 14",El Cañaveral,Vicálvaro,40.402448165932,-3.548555432854,453451.406,4472571.002,CL_194_046
52,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Suertes de la Villa, 14",El Cañaveral,Vicálvaro,40.402448165932,-3.548555432854,453451.406,4472571.002,CL_194_046
53,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Ferenc Puskas, 199",El Cañaveral,Vicálvaro,40.39860257012,-3.546775649804,453599.793,4472143.21,CL_194_084
54,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Ferenc Puskas, 199",El Cañaveral,Vicálvaro,40.39860257012,-3.546775649804,453599.793,4472143.21,CL_194_084
55,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Ferenc Puskas, 199",El Cañaveral,Vicálvaro,40.39860257012,-3.546775649804,453599.793,4472143.21,CL_194_084
56,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Luis Ocaña, 180",El Cañaveral,Vicálvaro,40.395795091439,-3.548024869925,453491.85,4471832.24,CL_194_056
57,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Luis Ocaña, 180",El Cañaveral,Vicálvaro,40.395795091439,-3.548024869925,453491.85,4471832.24,CL_194_056
58,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Luis Ocaña, 180",El Cañaveral,Vicálvaro,40.395795091439,-3.548024869925,453491.85,4471832.24,CL_194_056
59,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Mayorazgo de Duarte, 16",El Cañaveral,Vicálvaro,40.401997128674,-3.546825728416,453597.874,4472520.028,CS_194_049
60,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Mayorazgo de Duarte, 16",El Cañaveral,Vicálvaro,40.401997128674,-3.546825728416,453597.874,4472520.028,CS_194_049
61,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Ferenc Puskas, 199",El Cañaveral,Vicálvaro,40.39859635465,-3.546790718196,453598.51,4472142.528,CS_194_083
62,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Ferenc Puskas, 199",El Cañaveral,Vicálvaro,40.39859635465,-3.546790718196,453598.51,4472142.528,CS_194_083
63,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Ferenc Puskas, 199",El Cañaveral,Vicálvaro,40.39859635465,-3.546790718196,453598.51,4472142.528,CS_194_083
64,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Mayorazgo de Duarte, 1",El Cañaveral,Vicálvaro,40.402005939524,-3.546825740789,453597.879,4472521.006,CL_194_045
65,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Mayorazgo de Duarte, 1",El Cañaveral,Vicálvaro,40.402005939524,-3.546825740789,453597.879,4472521.006,CL_194_045
66,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Mayorazgo de Duarte, 1",El Cañaveral,Vicálvaro,40.402005939524,-3.546825740789,453597.879,4472521.006,CL_194_045
67,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Alcalde Andrés Madrid Dávila, 142",El Cañaveral,Vicálvaro,40.400455586363,-3.548792512638,453429.915,4472349.953,CL_194_042
68,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Alcalde Andrés Madrid Dávila, 142",El Cañaveral,Vicálvaro,40.400455586363,-3.548792512638,453429.915,4472349.953,CL_194_042
69,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Alcalde Andrés Madrid Dávila, 142",El Cañaveral,Vicálvaro,40.400455586363,-3.548792512638,453429.915,4472349.953,CL_194_042
70,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Luis Ocaña, 180",El Cañaveral,Vicálvaro,40.395795322026,-3.547989521721,453494.85,4471832.247,CS_194_020
71,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Luis Ocaña, 180",El Cañaveral,Vicálvaro,40.395795322026,-3.547989521721,453494.85,4471832.247,CS_194_020
72,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Suertes de la Villa, 170",El Cañaveral,Vicálvaro,40.406130833576,-3.548584374813,453451.487,4472979.789,CS_194_062
73,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Suertes de la Villa, 170",El Cañaveral,Vicálvaro,40.406130833576,-3.548584374813,453451.487,4472979.789,CS_194_062
74,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Provisional Iveco-Pegaso Tres, 57",Rejas,San Blas-Canillejas,40.44691497715,-3.547449715105,453575.816,4477506.201,CS_206_076
75,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Provisional Iveco-Pegaso Tres, 57",Rejas,San Blas-Canillejas,40.44691497715,-3.547449715105,453575.816,4477506.201,CS_206_076
76,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Casa de Tilly, 63",El Cañaveral,Vicálvaro,40.401532012748,-3.545290599286,453727.823,4472467.596,CL_194_090
77,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Casa de Tilly, 63",El Cañaveral,Vicálvaro,40.401532012748,-3.545290599286,453727.823,4472467.596,CL_194_090
78,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Casa de Tilly, 63",El Cañaveral,Vicálvaro,40.401532012748,-3.545290599286,453727.823,4472467.596,CL_194_090
79,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Suertes de la Villa, 170",El Cañaveral,Vicálvaro,40.406108058493,-3.548584390252,453451.47,4472977.261,CL_194_066
80,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Suertes de la Villa, 170",El Cañaveral,Vicálvaro,40.406108058493,-3.548584390252,453451.47,4472977.261,CL_194_066
81,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Suertes de la Villa, 170",El Cañaveral,Vicálvaro,40.406108058493,-3.548584390252,453451.47,4472977.261,CL_194_066
82,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Cerro de los Hombres, 77",El Cañaveral,Vicálvaro,40.408758089994,-3.549647602459,453363.083,4473271.972,CL_194_093
83,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Cerro de los Hombres, 77",El Cañaveral,Vicálvaro,40.408758089994,-3.549647602459,453363.083,4473271.972,CL_194_093
84,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Cerro de los Hombres, 77",El Cañaveral,Vicálvaro,40.408758089994,-3.549647602459,453363.083,4473271.972,CL_194_093
85,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Cerro de los Hombres, 77",El Cañaveral,Vicálvaro,40.408754340591,-3.549733218035,453355.816,4473271.601,CS_194_089
86,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Cerro de los Hombres, 77",El Cañaveral,Vicálvaro,40.408754340591,-3.549733218035,453355.816,4473271.601,CS_194_089
87,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Cerro del Campo, 31",El Cañaveral,Vicálvaro,40.405529581452,-3.550365070557,453299.975,4472913.99,CS_194_026
88,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Provisional Iveco-Pegaso Tres, 39",Rejas,San Blas-Canillejas,40.447421006205,-3.550320357322,453332.732,4477563.883,CS_206_075
89,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Provisional Iveco-Pegaso Tres, 39",Rejas,San Blas-Canillejas,40.447421006205,-3.550320357322,453332.732,4477563.883,CS_206_075
90,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Vereda de la Cebolla, 72",El Cañaveral,Vicálvaro,40.399665162494,-3.545189383592,453735.134,4472260.325,CS_194_070
91,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Vereda de la Cebolla, 72",El Cañaveral,Vicálvaro,40.399665162494,-3.545189383592,453735.134,4472260.325,CS_194_070
92,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Alcalde Andrés Madrid Dávila, 142",El Cañaveral,Vicálvaro,40.40048260275,-3.548792920568,453429.899,4472352.952,CS_194_019
93,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Alcalde Andrés Madrid Dávila, 142",El Cañaveral,Vicálvaro,40.40048260275,-3.548792920568,453429.899,4472352.952,CS_194_019
94,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Vereda de la Cebolla, 53",El Cañaveral,Vicálvaro,40.399770358237,-3.545203536383,453734.005,4472272.009,CL_194_012
95,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Vereda de la Cebolla, 53",El Cañaveral,Vicálvaro,40.399770358237,-3.545203536383,453734.005,4472272.009,CL_194_012
96,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Vereda de la Cebolla, 53",El Cañaveral,Vicálvaro,40.399770358237,-3.545203536383,453734.005,4472272.009,CL_194_012
97,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Alcalde Andrés Madrid Dávila, 112",El Cañaveral,Vicálvaro,40.399428476986,-3.548533998229,453451.145,4472235.809,CL_194_073
98,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Alcalde Andrés Madrid Dávila, 112",El Cañaveral,Vicálvaro,40.399428476986,-3.548533998229,453451.145,4472235.809,CL_194_073
99,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Alcalde Andrés Madrid Dávila, 112",El Cañaveral,Vicálvaro,40.399428476986,-3.548533998229,453451.145,4472235.809,CL_194_073
100,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Alcalde Andrés Madrid Dávila, 112",El Cañaveral,Vicálvaro,40.399405243323,-3.548533821443,453451.144,4472233.23,CS_194_068
101,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Alcalde Andrés Madrid Dávila, 112",El Cañaveral,Vicálvaro,40.399405243323,-3.548533821443,453451.144,4472233.23,CS_194_068
102,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Cerro del Campo, 1",El Cañaveral,Vicálvaro,40.405542026517,-3.552191561001,453145,4472916.338,CL_194_011
103,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Cerro del Campo, 1",El Cañaveral,Vicálvaro,40.405542026517,-3.552191561001,453145,4472916.338,CL_194_011
104,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Cerro del Campo, 1",El Cañaveral,Vicálvaro,40.405542026517,-3.552191561001,453145,4472916.338,CL_194_011
105,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Cerro del Monte, 15",El Cañaveral,Vicálvaro,40.407418494727,-3.550934039714,453253.003,4473123.958,CL_194_020
106,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Cerro del Monte, 15",El Cañaveral,Vicálvaro,40.407418494727,-3.550934039714,453253.003,4473123.958,CL_194_020
107,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Cerro del Monte, 15",El Cañaveral,Vicálvaro,40.407418494727,-3.550934039714,453253.003,4473123.958,CL_194_020
108,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Cerro del Monte, 15",El Cañaveral,Vicálvaro,40.407418494727,-3.550934039714,453253.003,4473123.958,CL_194_020
109,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Cerro del Monte, 15",El Cañaveral,Vicálvaro,40.407418494727,-3.550934039714,453253.003,4473123.958,CL_194_020
110,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Cerro del Monte, 15",El Cañaveral,Vicálvaro,40.407418494727,-3.550934039714,453253.003,4473123.958,CL_194_020
111,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Cerro del Monte, 15",El Cañaveral,Vicálvaro,40.407418494727,-3.550934039714,453253.003,4473123.958,CL_194_020
112,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Cerro del Monte, 15",El Cañaveral,Vicálvaro,40.407418494727,-3.550934039714,453253.003,4473123.958,CL_194_020
113,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Cerro del Monte, 15",El Cañaveral,Vicálvaro,40.407418494727,-3.550934039714,453253.003,4473123.958,CL_194_020
114,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Diálogo, 71",El Cañaveral,Vicálvaro,40.406424898752,-3.554050703942,452987.86,4473015.323,CS_194_009
115,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Diálogo, 71",El Cañaveral,Vicálvaro,40.406424898752,-3.554050703942,452987.86,4473015.323,CS_194_009
116,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Luis Ocaña, 52",El Cañaveral,Vicálvaro,40.395777934636,-3.551313794852,453212.722,4471832.071,CS_194_093
117,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Luis Ocaña, 52",El Cañaveral,Vicálvaro,40.395777934636,-3.551313794852,453212.722,4471832.071,CS_194_093
118,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Pilar Bellosillo, 2",El Cañaveral,Vicálvaro,40.398869167971,-3.553704791192,453011.958,4472176.462,CL_194_089
119,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Pilar Bellosillo, 2",El Cañaveral,Vicálvaro,40.398869167971,-3.553704791192,453011.958,4472176.462,CL_194_089
120,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Pilar Bellosillo, 2",El Cañaveral,Vicálvaro,40.398869167971,-3.553704791192,453011.958,4472176.462,CL_194_089
121,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Pilar Bellosillo, 12",El Cañaveral,Vicálvaro,40.398029403768,-3.551697019714,453181.759,4472082.184,CS_194_046
122,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Pilar Bellosillo, 12",El Cañaveral,Vicálvaro,40.398029403768,-3.551697019714,453181.759,4472082.184,CS_194_046
123,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Cerro del Monte, 2",El Cañaveral,Vicálvaro,40.407216281586,-3.55198133399,453163.999,4473102.067,CL_194_016
124,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Cerro del Monte, 2",El Cañaveral,Vicálvaro,40.407216281586,-3.55198133399,453163.999,4473102.067,CL_194_016
125,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Cerro del Monte, 2",El Cañaveral,Vicálvaro,40.407216281586,-3.55198133399,453163.999,4473102.067,CL_194_016
126,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Cerro del Monte, 2",El Cañaveral,Vicálvaro,40.407216281586,-3.55198133399,453163.999,4473102.067,CL_194_016
127,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Cerro del Monte, 2",El Cañaveral,Vicálvaro,40.407216281586,-3.55198133399,453163.999,4473102.067,CL_194_016
128,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Cerro del Monte, 2",El Cañaveral,Vicálvaro,40.407216281586,-3.55198133399,453163.999,4473102.067,CL_194_016
129,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Igualdad, 42",El Cañaveral,Vicálvaro,40.40720389646,-3.554180649335,452977.376,4473101.86,CS_194_008
130,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Igualdad, 42",El Cañaveral,Vicálvaro,40.40720389646,-3.554180649335,452977.376,4473101.86,CS_194_008
131,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Ilusión, 62",El Cañaveral,Vicálvaro,40.405430799385,-3.553437261391,453039.221,4472904.653,CS_194_034
132,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Ilusión, 62",El Cañaveral,Vicálvaro,40.405430799385,-3.553437261391,453039.221,4472904.653,CS_194_034
133,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle María Pita, 42",El Cañaveral,Vicálvaro,40.396836102418,-3.553086704225,453062.998,4471950.466,CS_194_037
134,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle María Pita, 42",El Cañaveral,Vicálvaro,40.396836102418,-3.553086704225,453062.998,4471950.466,CS_194_037
135,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Cerro del Monte, 2",El Cañaveral,Vicálvaro,40.407216423335,-3.551945979104,453166.999,4473102.064,CS_194_014
136,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Cerro del Monte, 2",El Cañaveral,Vicálvaro,40.407216423335,-3.551945979104,453166.999,4473102.064,CS_194_014
137,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Cerro del Monte, 2",El Cañaveral,Vicálvaro,40.407216423335,-3.551945979104,453166.999,4473102.064,CS_194_014
138,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Cerro del Monte, 2",El Cañaveral,Vicálvaro,40.407216423335,-3.551945979104,453166.999,4473102.064,CS_194_014
139,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Anna Frank, 1",El Cañaveral,Vicálvaro,40.396750578152,-3.553914975189,452992.648,4471941.413,CL_194_081
140,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Anna Frank, 1",El Cañaveral,Vicálvaro,40.396750578152,-3.553914975189,452992.648,4471941.413,CL_194_081
141,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Anna Frank, 1",El Cañaveral,Vicálvaro,40.396750578152,-3.553914975189,452992.648,4471941.413,CL_194_081
