Orden,Tipo de contenedor,Tipo de contenedor normalizado,Modelo,Carga,Lote,Dirección,Barrio,Distrito,Latitud,Longitud,X,Y,Código de localización
27926,Restos,Restos,R 800 CT,Carga trasera,3,"Avenida Oporto, 26",Opañel,Carabanchel,40.385344656159,-3.722564667287,438669.932,4470778.693,CT_112_024
27927,PMB,PlasticosMetalesYBriks,E 800 CT,Carga trasera,3,"Avenida Oporto, 26",Opañel,Carabanchel,40.385344656159,-3.722564667287,438669.932,4470778.693,CT_112_024
27928,PMB,PlasticosMetalesYBriks,E 800 CT,Carga trasera,3,"Avenida Oporto, 26",Opañel,Carabanchel,40.385344656159,-3.722564667287,438669.932,4470778.693,CT_112_024
27929,Orgánica,Organica,O 800 CT,Carga trasera,3,"Avenida Oporto, 26",Opañel,Carabanchel,40.385344656159,-3.722564667287,438669.932,4470778.693,CT_112_024
27930,Vidrio,Vidrio,V 3100 CS,Carga superior,3,"Calle Eusebio Morán, 29",Opañel,Carabanchel,40.38710145318,-3.719433795185,438937.264,4470971.529,CS_112_037
27931,Restos,Restos,R 2750 CL,Carga lateral,3,"Calle Gainza, 19",Orcasitas,Usera,40.372375159317,-3.718203412089,439028.42,4469336.077,CL_121_054
27932,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,3,"Calle Gainza, 19",Orcasitas,Usera,40.372375159317,-3.718203412089,439028.42,4469336.077,CL_121_054
27933,Orgánica,Organica,O 2750 CL,Carga lateral,3,"Calle Gainza, 19",Orcasitas,Usera,40.372375159317,-3.718203412089,439028.42,4469336.077,CL_121_054
27934,Restos,Restos,R 800 CT,Carga trasera,3,"Calle Tejares, 29",San Isidro,Carabanchel,40.395995049016,-3.72323945468,438622.327,4471961.346,CT_113_018
27935,Restos,Restos,R 800 CT,Carga trasera,3,"Calle Tejares, 29",San Isidro,Carabanchel,40.395995049016,-3.72323945468,438622.327,4471961.346,CT_113_018
27936,PMB,PlasticosMetalesYBriks,E 800 CT,Carga trasera,3,"Calle Tejares, 29",San Isidro,Carabanchel,40.395995049016,-3.72323945468,438622.327,4471961.346,CT_113_018
27937,Orgánica,Organica,O 800 CT,Carga trasera,3,"Calle Tejares, 29",San Isidro,Carabanchel,40.395995049016,-3.72323945468,438622.327,4471961.346,CT_113_018
27938,Orgánica,Organica,O 800 CT,Carga trasera,3,"Calle Tejares, 29",San Isidro,Carabanchel,40.395995049016,-3.72323945468,438622.327,4471961.346,CT_113_018
27939,Vidrio,Vidrio,V 3100 CS,Carga superior,3,"Calle Argüeso, 16",Opañel,Carabanchel,40.385829633289,-3.726107049734,438369.7,4470834.988,CS_112_065
27940,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,3,"Calle Hermanos del Moral, 71",Opañel,Carabanchel,40.390669928664,-3.721640590712,438753.191,4471369.153,CS_112_044
27941,Vidrio,Vidrio,V 3100 CS,Carga superior,3,"Calle Hermanos del Moral, 71",Opañel,Carabanchel,40.390669928664,-3.721640590712,438753.191,4471369.153,CS_112_044
27942,Restos,Restos,R 2750 CL,Carga lateral,3,"Paseo Alberto Palacios, 79",Villaverde Alto - casco histórico de Villaverde,Villaverde,40.343285745181,-3.717033205633,439101.597,4466106.389,CL_171_034
27943,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,3,"Paseo Alberto Palacios, 79",Villaverde Alto - casco histórico de Villaverde,Villaverde,40.343285745181,-3.717033205633,439101.597,4466106.389,CL_171_034
